科目分類,貸借区分,連結科目コード,連結科目名（日）,連結科目名（英）,換算区分,金額区分,備考,設定日時,最終更新日時
流動資産,借方,111100,現金,Cash,CR,+,abc,2023/12/21 16:57,2024/2/18 16:53
流動資産,借方,111200,当座預金,Current deposit,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,111300,普通預金,Ordinary deposit,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,111400,定期預金,Time deposit,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,111500,その他の預金,Other deposit,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,111900,現金及び預金,Cash and deposits,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,111950,定期預金3ヵ月超,Time deposit exceeding 3 months,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,112100,受取手形,Notes receivable-trade,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,112200,売掛金,Accounts receivable-trade,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,112250,関係会社売掛金,Accounts receivable from subsidiaries and associates - trade,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,112300,契約資産,"Contract assets, net",CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,112900,受取手形及び売掛金,Notes and accounts receivable-trade,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,112950,貸倒引当金,Allowance for doubtful accounts-CA,CR,-,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,113100,有価証券,Securities,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,113200,親会社株式,Shares of parent,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,114100,商品,Merchandise,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,114200,貯蔵品,Supplies,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,114300,材料,Raw materials,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,114400,仕掛品,Work in process,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,114500,製品,Finished goods,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,114900,たな卸資産,Inventories,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,115100,前払金,Advance payments-other,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,115150,前払費用,Prepaid expenses,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,115200,立替金,Advances paid,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,115300,短期貸付金,Short-term loans receivable,CR,+,,2023/12/21 16:57,2023/12/21 16:57
流動資産,借方,115310,1年内回収予定の長期貸付金,Current portion of long-term loans receivable,CR,+,,2023/12/21 16:57,2023/12/21 16:57
